state,county,subtype,category
alaska,aleutian islands,all,county_by_farmsize
alaska,aleutian islands,other,county_by_farmsize
alaska,aleutian islands,beef,county_by_farmsize
alaska,anchorage,all,county_by_farmsize
alaska,anchorage,beef,county_by_farmsize
alaska,anchorage,other,county_by_farmsize
alaska,fairbanks north star,other,county_by_farmsize
alaska,fairbanks north star,milk,county_by_farmsize
alaska,fairbanks north star,beef,county_by_farmsize
alaska,fairbanks north star,all,county_by_farmsize
alaska,juneau,other,county_by_farmsize
alaska,juneau,all,county_by_farmsize
alaska,juneau,beef,county_by_farmsize
alaska,kenai peninsula,beef,county_by_farmsize
arizona,apache,other,county_by_farmsize
arizona,cochise,milk,county_by_farmsize
arizona,cochise,other,county_by_farmsize
arizona,cochise,beef,county_by_farmsize
arizona,gila,beef,county_by_farmsize
arizona,gila,other,county_by_farmsize
arizona,graham,other,county_by_farmsize
arizona,greenlee,all,county_by_farmsize
arizona,greenlee,beef,county_by_farmsize
arizona,greenlee,other,county_by_farmsize
arizona,lapaz,all,county_by_farmsize
arizona,lapaz,other,county_by_farmsize
arizona,lapaz,beef,county_by_farmsize
arizona,lapaz,milk,county_by_farmsize
arizona,mohave,other,county_by_farmsize
arizona,navajo,beef,county_by_farmsize
arizona,navajo,other,county_by_farmsize
arizona,pima,other,county_by_farmsize
arizona,pinal,milk,county_by_farmsize
arizona,pinal,beef,county_by_farmsize
arizona,santa cruz,milk,county_by_farmsize
arizona,santa cruz,other,county_by_farmsize
arizona,santa cruz,beef,county_by_farmsize
arizona,yuma,other,county_by_farmsize
arizona,yuma,all,county_by_farmsize
arizona,yuma,milk,county_by_farmsize
arkansas,arkansas,other,county_by_farmsize
arkansas,arkansas,all,county_by_farmsize
arkansas,arkansas,beef,county_by_farmsize
arkansas,baxter,beef,county_by_farmsize
arkansas,baxter,other,county_by_farmsize
arkansas,benton,beef,county_by_farmsize
arkansas,benton,milk,county_by_farmsize
arkansas,boone,beef,county_by_farmsize
arkansas,boone,milk,county_by_farmsize
arkansas,bradley,all,county_by_farmsize
arkansas,calhoun,beef,county_by_farmsize
arkansas,calhoun,milk,county_by_farmsize
arkansas,carroll,milk,county_by_farmsize
arkansas,carroll,beef,county_by_farmsize
arkansas,chicot,beef,county_by_farmsize
arkansas,chicot,other,county_by_farmsize
arkansas,chicot,all,county_by_farmsize
arkansas,clark,beef,county_by_farmsize
arkansas,clark,milk,county_by_farmsize
arkansas,clay,all,county_by_farmsize
arkansas,cleburne,beef,county_by_farmsize
arkansas,cleveland,other,county_by_farmsize
arkansas,cleveland,all,county_by_farmsize
arkansas,conway,other,county_by_farmsize
arkansas,conway,milk,county_by_farmsize
arkansas,conway,beef,county_by_farmsize
arkansas,crawford,milk,county_by_farmsize
arkansas,crawford,beef,county_by_farmsize
arkansas,crittenden,beef,county_by_farmsize
arkansas,crittenden,all,county_by_farmsize
arkansas,crittenden,other,county_by_farmsize
arkansas,cross,all,county_by_farmsize
arkansas,cross,beef,county_by_farmsize
arkansas,dallas,other,county_by_farmsize
arkansas,dallas,all,county_by_farmsize
arkansas,dallas,beef,county_by_farmsize
arkansas,desha,other,county_by_farmsize
arkansas,drew,beef,county_by_farmsize
arkansas,drew,milk,county_by_farmsize
arkansas,faulkner,milk,county_by_farmsize
arkansas,faulkner,other,county_by_farmsize
arkansas,franklin,milk,county_by_farmsize
arkansas,franklin,beef,county_by_farmsize
arkansas,fulton,milk,county_by_farmsize
arkansas,fulton,beef,county_by_farmsize
arkansas,garland,all,county_by_farmsize
arkansas,garland,milk,county_by_farmsize
arkansas,garland,beef,county_by_farmsize
arkansas,hempstead,beef,county_by_farmsize
arkansas,hempstead,milk,county_by_farmsize
arkansas,independence,milk,county_by_farmsize
arkansas,independence,beef,county_by_farmsize
arkansas,izard,milk,county_by_farmsize
arkansas,izard,beef,county_by_farmsize
arkansas,jackson,milk,county_by_farmsize
arkansas,jackson,beef,county_by_farmsize
arkansas,jackson,other,county_by_farmsize
arkansas,jackson,all,county_by_farmsize
arkansas,jefferson,beef,county_by_farmsize
arkansas,jefferson,all,county_by_farmsize
arkansas,jefferson,other,county_by_farmsize
arkansas,johnson,other,county_by_farmsize
arkansas,johnson,beef,county_by_farmsize
arkansas,lawrence,beef,county_by_farmsize
arkansas,lawrence,milk,county_by_farmsize
arkansas,lee,beef,county_by_farmsize
arkansas,lee,other,county_by_farmsize
arkansas,lee,all,county_by_farmsize
arkansas,lincoln,other,county_by_farmsize
arkansas,lincoln,beef,county_by_farmsize
arkansas,lincoln,milk,county_by_farmsize
arkansas,lincoln,all,county_by_farmsize
arkansas,little river,beef,county_by_farmsize
arkansas,logan,milk,county_by_farmsize
arkansas,logan,beef,county_by_farmsize
arkansas,madison,other,county_by_farmsize
arkansas,madison,beef,county_by_farmsize
arkansas,madison,milk,county_by_farmsize
arkansas,marion,other,county_by_farmsize
arkansas,mississippi,beef,county_by_farmsize
arkansas,mississippi,all,county_by_farmsize
arkansas,monroe,other,county_by_farmsize
arkansas,monroe,all,county_by_farmsize
arkansas,monroe,beef,county_by_farmsize
arkansas,montgomery,beef,county_by_farmsize
arkansas,montgomery,other,county_by_farmsize
arkansas,montgomery,milk,county_by_farmsize
arkansas,nevada,other,county_by_farmsize
arkansas,ouachita,other,county_by_farmsize
arkansas,ouachita,beef,county_by_farmsize
arkansas,ouachita,all,county_by_farmsize
arkansas,perry,all,county_by_farmsize
arkansas,perry,other,county_by_farmsize
arkansas,perry,beef,county_by_farmsize
arkansas,phillips,all,county_by_farmsize
arkansas,phillips,beef,county_by_farmsize
arkansas,phillips,other,county_by_farmsize
arkansas,pike,other,county_by_farmsize
arkansas,poinsett,beef,county_by_farmsize
arkansas,poinsett,all,county_by_farmsize
arkansas,poinsett,other,county_by_farmsize
arkansas,polk,beef,county_by_farmsize
arkansas,polk,milk,county_by_farmsize
arkansas,prairie,other,county_by_farmsize
arkansas,prairie,all,county_by_farmsize
arkansas,prairie,beef,county_by_farmsize
arkansas,pulaski,all,county_by_farmsize
arkansas,pulaski,beef,county_by_farmsize
arkansas,pulaski,other,county_by_farmsize
arkansas,saint francis,beef,county_by_farmsize
arkansas,saint francis,all,county_by_farmsize
arkansas,saint francis,other,county_by_farmsize
arkansas,saline,all,county_by_farmsize
arkansas,saline,milk,county_by_farmsize
arkansas,saline,beef,county_by_farmsize
arkansas,searcy,milk,county_by_farmsize
arkansas,searcy,beef,county_by_farmsize
arkansas,sevier,milk,county_by_farmsize
arkansas,sevier,beef,county_by_farmsize
arkansas,sharp,milk,county_by_farmsize
arkansas,sharp,beef,county_by_farmsize
arkansas,stone,other,county_by_farmsize
arkansas,stone,beef,county_by_farmsize
arkansas,union,beef,county_by_farmsize
arkansas,van buren,beef,county_by_farmsize
arkansas,van buren,other,county_by_farmsize
arkansas,washington,milk,county_by_farmsize
arkansas,white,milk,county_by_farmsize
arkansas,white,beef,county_by_farmsize
arkansas,woodruff,other,county_by_farmsize
arkansas,woodruff,all,county_by_farmsize
arkansas,woodruff,beef,county_by_farmsize
arkansas,yell,milk,county_by_farmsize
arkansas,yell,beef,county_by_farmsize
california,alameda,other,county_by_farmsize
california,alpine,other,county_by_farmsize
california,alpine,beef,county_by_farmsize
california,alpine,all,county_by_farmsize
california,amador,other,county_by_farmsize
california,amador,beef,county_by_farmsize
california,butte,milk,county_by_farmsize
california,butte,beef,county_by_farmsize
california,calaveras,beef,county_by_farmsize
california,calaveras,other,county_by_farmsize
california,colusa,beef,county_by_farmsize
california,colusa,milk,county_by_farmsize
california,contra costa,milk,county_by_farmsize
california,contra costa,beef,county_by_farmsize
california,del norte,other,county_by_farmsize
california,del norte,milk,county_by_farmsize
california,del norte,beef,county_by_farmsize
california,del norte,all,county_by_farmsize
california,el dorado,all,county_by_farmsize
california,el dorado,milk,county_by_farmsize
california,el dorado,other,county_by_farmsize
california,el dorado,beef,county_by_farmsize
california,glenn,milk,county_by_farmsize
california,humboldt,milk,county_by_farmsize
california,humboldt,beef,county_by_farmsize
california,imperial,other,county_by_farmsize
california,imperial,all,county_by_farmsize
california,imperial,beef,county_by_farmsize
california,inyo,beef,county_by_farmsize
california,inyo,all,county_by_farmsize
california,inyo,other,county_by_farmsize
california,kern,milk,county_by_farmsize
california,kings,all,county_by_farmsize
california,kings,milk,county_by_farmsize
california,kings,other,county_by_farmsize
california,kings,beef,county_by_farmsize
california,lake,other,county_by_farmsize
california,lake,beef,county_by_farmsize
california,lake,all,county_by_farmsize
california,lassen,milk,county_by_farmsize
california,los angeles,other,county_by_farmsize
california,los angeles,milk,county_by_farmsize
california,los angeles,beef,county_by_farmsize
california,los angeles,all,county_by_farmsize
california,marin,milk,county_by_farmsize
california,merced,milk,county_by_farmsize
california,mono,beef,county_by_farmsize
california,mono,other,county_by_farmsize
california,mono,all,county_by_farmsize
california,monterey,beef,county_by_farmsize
california,monterey,milk,county_by_farmsize
california,napa,milk,county_by_farmsize
california,napa,other,county_by_farmsize
california,napa,all,county_by_farmsize
california,napa,beef,county_by_farmsize
california,nevada,other,county_by_farmsize
california,nevada,all,county_by_farmsize
california,orange,beef,county_by_farmsize
california,orange,other,county_by_farmsize
california,orange,all,county_by_farmsize
california,placer,milk,county_by_farmsize
california,placer,beef,county_by_farmsize
california,placer,other,county_by_farmsize
california,plumas,beef,county_by_farmsize
california,plumas,all,county_by_farmsize
california,plumas,other,county_by_farmsize
california,riverside,milk,county_by_farmsize
california,riverside,beef,county_by_farmsize
california,riverside,other,county_by_farmsize
california,sacramento,other,county_by_farmsize
california,sacramento,milk,county_by_farmsize
california,san bernardino,milk,county_by_farmsize
california,san bernardino,all,county_by_farmsize
california,san bernardino,other,county_by_farmsize
california,san bernardino,beef,county_by_farmsize
california,san diego,beef,county_by_farmsize
california,san diego,all,county_by_farmsize
california,san diego,other,county_by_farmsize
california,san joaquin,milk,county_by_farmsize
california,san luis obispo,beef,county_by_farmsize
california,san luis obispo,milk,county_by_farmsize
california,san mateo,all,county_by_farmsize
california,san mateo,beef,county_by_farmsize
california,san mateo,other,county_by_farmsize
california,santa barbara,beef,county_by_farmsize
california,santa barbara,milk,county_by_farmsize
california,santa clara,beef,county_by_farmsize
california,santa clara,other,county_by_farmsize
california,santa cruz,other,county_by_farmsize
california,santa cruz,all,county_by_farmsize
california,santa cruz,beef,county_by_farmsize
california,shasta,all,county_by_farmsize
california,shasta,beef,county_by_farmsize
california,sierra,milk,county_by_farmsize
california,sierra,all,county_by_farmsize
california,sierra,beef,county_by_farmsize
california,sierra,other,county_by_farmsize
california,siskiyou,milk,county_by_farmsize
california,solano,milk,county_by_farmsize
california,solano,beef,county_by_farmsize
california,sonoma,milk,county_by_farmsize
california,stanislaus,milk,county_by_farmsize
california,sutter,beef,county_by_farmsize
california,sutter,other,county_by_farmsize
california,tehama,beef,county_by_farmsize
california,tehama,milk,county_by_farmsize
california,trinity,beef,county_by_farmsize
california,trinity,all,county_by_farmsize
california,tulare,milk,county_by_farmsize
california,tuolumne,milk,county_by_farmsize
california,tuolumne,beef,county_by_farmsize
california,tuolumne,other,county_by_farmsize
california,ventura,all,county_by_farmsize
california,ventura,beef,county_by_farmsize
california,yolo,beef,county_by_farmsize
california,yolo,milk,county_by_farmsize
california,yolo,other,county_by_farmsize
california,yuba,all,county_by_farmsize
california,yuba,milk,county_by_farmsize
california,yuba,beef,county_by_farmsize
california,yuba,other,county_by_farmsize
colorado,adams,other,county_by_farmsize
colorado,adams,beef,county_by_farmsize
colorado,adams,milk,county_by_farmsize
colorado,alamosa,beef,county_by_farmsize
colorado,arapahoe,all,county_by_farmsize
colorado,arapahoe,other,county_by_farmsize
colorado,arapahoe,beef,county_by_farmsize
colorado,archuleta,milk,county_by_farmsize
colorado,archuleta,other,county_by_farmsize
colorado,archuleta,all,county_by_farmsize
colorado,bent,all,county_by_farmsize
colorado,bent,milk,county_by_farmsize
colorado,bent,beef,county_by_farmsize
colorado,boulder,milk,county_by_farmsize
colorado,boulder,all,county_by_farmsize
colorado,broomfield,other,county_by_farmsize
colorado,broomfield,beef,county_by_farmsize
colorado,broomfield,all,county_by_farmsize
colorado,chaffee,milk,county_by_farmsize
colorado,chaffee,beef,county_by_farmsize
colorado,chaffee,all,county_by_farmsize
colorado,chaffee,other,county_by_farmsize
colorado,cheyenne,beef,county_by_farmsize
colorado,cheyenne,all,county_by_farmsize
colorado,cheyenne,milk,county_by_farmsize
colorado,clear creek,all,county_by_farmsize
colorado,clear creek,beef,county_by_farmsize
colorado,conejos,other,county_by_farmsize
colorado,conejos,milk,county_by_farmsize
colorado,costilla,milk,county_by_farmsize
colorado,costilla,all,county_by_farmsize
colorado,costilla,other,county_by_farmsize
colorado,costilla,beef,county_by_farmsize
colorado,crowley,beef,county_by_farmsize
colorado,crowley,other,county_by_farmsize
colorado,custer,beef,county_by_farmsize
colorado,custer,other,county_by_farmsize
colorado,custer,all,county_by_farmsize
colorado,delta,other,county_by_farmsize
colorado,delta,milk,county_by_farmsize
colorado,delta,beef,county_by_farmsize
colorado,denver,milk,county_by_farmsize
colorado,denver,all,county_by_farmsize
colorado,dolores,all,county_by_farmsize
colorado,dolores,milk,county_by_farmsize
colorado,dolores,beef,county_by_farmsize
colorado,douglas,other,county_by_farmsize
colorado,douglas,beef,county_by_farmsize
colorado,douglas,all,county_by_farmsize
colorado,eagle,beef,county_by_farmsize
colorado,eagle,all,county_by_farmsize
colorado,eagle,other,county_by_farmsize
colorado,el paso,beef,county_by_farmsize
colorado,el paso,other,county_by_farmsize
colorado,elbert,milk,county_by_farmsize
colorado,elbert,other,county_by_farmsize
colorado,fremont,beef,county_by_farmsize
colorado,fremont,other,county_by_farmsize
colorado,garfield,other,county_by_farmsize
colorado,gilpin,beef,county_by_farmsize
colorado,gilpin,all,county_by_farmsize
colorado,grand,milk,county_by_farmsize
colorado,grand,beef,county_by_farmsize
colorado,grand,other,county_by_farmsize
colorado,gunnison,beef,county_by_farmsize
colorado,gunnison,milk,county_by_farmsize
colorado,hinsdale,all,county_by_farmsize
colorado,hinsdale,beef,county_by_farmsize
colorado,hinsdale,other,county_by_farmsize
colorado,huerfano,milk,county_by_farmsize
colorado,huerfano,other,county_by_farmsize
colorado,huerfano,beef,county_by_farmsize
colorado,jackson,beef,county_by_farmsize
colorado,jefferson,milk,county_by_farmsize
colorado,jefferson,other,county_by_farmsize
colorado,jefferson,beef,county_by_farmsize
colorado,kiowa,milk,county_by_farmsize
colorado,kiowa,beef,county_by_farmsize
colorado,kiowa,other,county_by_farmsize
colorado,kit carson,beef,county_by_farmsize
colorado,kit carson,milk,county_by_farmsize
colorado,la plata,milk,county_by_farmsize
colorado,la plata,beef,county_by_farmsize
colorado,la plata,other,county_by_farmsize
colorado,la plata,all,county_by_farmsize
colorado,lake,other,county_by_farmsize
colorado,lake,all,county_by_farmsize
colorado,lake,beef,county_by_farmsize
colorado,larimer,milk,county_by_farmsize
colorado,lincoln,beef,county_by_farmsize
colorado,lincoln,other,county_by_farmsize
colorado,lincoln,milk,county_by_farmsize
colorado,mineral,other,county_by_farmsize
colorado,mineral,beef,county_by_farmsize
colorado,mineral,all,county_by_farmsize
colorado,moffat,beef,county_by_farmsize
colorado,moffat,milk,county_by_farmsize
colorado,montezuma,beef,county_by_farmsize
colorado,montrose,beef,county_by_farmsize
colorado,montrose,milk,county_by_farmsize
colorado,otero,milk,county_by_farmsize
colorado,ouray,other,county_by_farmsize
colorado,ouray,all,county_by_farmsize
colorado,park,all,county_by_farmsize
colorado,park,other,county_by_farmsize
colorado,phillips,other,county_by_farmsize
colorado,phillips,beef,county_by_farmsize
colorado,phillips,milk,county_by_farmsize
colorado,pitkin,other,county_by_farmsize
colorado,pitkin,all,county_by_farmsize
colorado,pitkin,beef,county_by_farmsize
colorado,prowers,beef,county_by_farmsize
colorado,prowers,milk,county_by_farmsize
colorado,pueblo,beef,county_by_farmsize
colorado,pueblo,milk,county_by_farmsize
colorado,pueblo,other,county_by_farmsize
colorado,rio blanco,other,county_by_farmsize
colorado,rio grande,beef,county_by_farmsize
colorado,rio grande,other,county_by_farmsize
colorado,routt,other,county_by_farmsize
colorado,saguache,milk,county_by_farmsize
colorado,san miguel,other,county_by_farmsize
colorado,san miguel,beef,county_by_farmsize
colorado,sedgwick,all,county_by_farmsize
colorado,sedgwick,milk,county_by_farmsize
colorado,sedgwick,beef,county_by_farmsize
colorado,sedgwick,other,county_by_farmsize
colorado,summit,other,county_by_farmsize
colorado,summit,beef,county_by_farmsize
colorado,summit,all,county_by_farmsize
colorado,teller,milk,county_by_farmsize
colorado,teller,beef,county_by_farmsize
colorado,teller,all,county_by_farmsize
colorado,washington,milk,county_by_farmsize
colorado,washington,beef,county_by_farmsize
colorado,weld,milk,county_by_farmsize
colorado,yuma,beef,county_by_farmsize
colorado,yuma,milk,county_by_farmsize
connecticut,fairfield,all,county_by_farmsize
connecticut,fairfield,milk,county_by_farmsize
connecticut,fairfield,beef,county_by_farmsize
connecticut,fairfield,other,county_by_farmsize
connecticut,hartford,other,county_by_farmsize
connecticut,hartford,milk,county_by_farmsize
connecticut,hartford,all,county_by_farmsize
connecticut,litchfield,milk,county_by_farmsize
connecticut,litchfield,beef,county_by_farmsize
connecticut,litchfield,other,county_by_farmsize
connecticut,middlesex,milk,county_by_farmsize
connecticut,middlesex,other,county_by_farmsize
connecticut,middlesex,all,county_by_farmsize
connecticut,middlesex,beef,county_by_farmsize
connecticut,new haven,all,county_by_farmsize
connecticut,new haven,milk,county_by_farmsize
connecticut,new london,other,county_by_farmsize
connecticut,new london,beef,county_by_farmsize
connecticut,tolland,milk,county_by_farmsize
connecticut,tolland,beef,county_by_farmsize
connecticut,tolland,other,county_by_farmsize
connecticut,tolland,all,county_by_farmsize
connecticut,windham,beef,county_by_farmsize
connecticut,windham,milk,county_by_farmsize
connecticut,windham,other,county_by_farmsize
delaware,kent,other,county_by_farmsize
delaware,kent,milk,county_by_farmsize
delaware,kent,all,county_by_farmsize
delaware,new castle,milk,county_by_farmsize
delaware,new castle,other,county_by_farmsize
delaware,new castle,all,county_by_farmsize
delaware,sussex,milk,county_by_farmsize
delaware,sussex,beef,county_by_farmsize
delaware,sussex,other,county_by_farmsize
delaware,sussex,all,county_by_farmsize
florida,alachua,milk,county_by_farmsize
florida,baker,all,county_by_farmsize
florida,baker,other,county_by_farmsize
florida,baker,beef,county_by_farmsize
florida,bay,all,county_by_farmsize
florida,bay,beef,county_by_farmsize
florida,bay,other,county_by_farmsize
florida,bradford,milk,county_by_farmsize
florida,bradford,all,county_by_farmsize
florida,bradford,beef,county_by_farmsize
florida,bradford,other,county_by_farmsize
florida,broward,all,county_by_farmsize
florida,broward,other,county_by_farmsize
florida,broward,beef,county_by_farmsize
florida,calhoun,milk,county_by_farmsize
florida,calhoun,all,county_by_farmsize
florida,calhoun,other,county_by_farmsize
florida,calhoun,beef,county_by_farmsize
florida,charlotte,other,county_by_farmsize
florida,citrus,all,county_by_farmsize
florida,citrus,other,county_by_farmsize
florida,citrus,beef,county_by_farmsize
florida,citrus,milk,county_by_farmsize
florida,clay,other,county_by_farmsize
florida,clay,all,county_by_farmsize
florida,collier,other,county_by_farmsize
florida,collier,beef,county_by_farmsize
florida,columbia,milk,county_by_farmsize
florida,de soto,milk,county_by_farmsize
florida,dixie,beef,county_by_farmsize
florida,duval,beef,county_by_farmsize
florida,duval,milk,county_by_farmsize
florida,escambia,all,county_by_farmsize
florida,escambia,beef,county_by_farmsize
florida,escambia,other,county_by_farmsize
florida,flagler,beef,county_by_farmsize
florida,flagler,other,county_by_farmsize
florida,franklin,other,county_by_farmsize
florida,franklin,all,county_by_farmsize
florida,franklin,beef,county_by_farmsize
florida,gadsden,other,county_by_farmsize
florida,gadsden,all,county_by_farmsize
florida,gadsden,beef,county_by_farmsize
florida,gilchrist,beef,county_by_farmsize
florida,glades,beef,county_by_farmsize
florida,glades,milk,county_by_farmsize
florida,gulf,other,county_by_farmsize
florida,gulf,beef,county_by_farmsize
florida,gulf,all,county_by_farmsize
florida,hamilton,beef,county_by_farmsize
florida,hamilton,milk,county_by_farmsize
florida,hamilton,all,county_by_farmsize
florida,hamilton,other,county_by_farmsize
florida,hardee,milk,county_by_farmsize
florida,hernando,beef,county_by_farmsize
florida,highlands,beef,county_by_farmsize
florida,highlands,milk,county_by_farmsize
florida,hillsborough,other,county_by_farmsize
florida,holmes,milk,county_by_farmsize
florida,holmes,beef,county_by_farmsize
florida,holmes,all,county_by_farmsize
florida,holmes,other,county_by_farmsize
florida,jackson,other,county_by_farmsize
florida,jackson,beef,county_by_farmsize
florida,jackson,milk,county_by_farmsize
florida,jefferson,beef,county_by_farmsize
florida,jefferson,milk,county_by_farmsize
florida,lafayette,other,county_by_farmsize
florida,lafayette,milk,county_by_farmsize
florida,lake,other,county_by_farmsize
florida,lee,beef,county_by_farmsize
florida,lee,all,county_by_farmsize
florida,lee,other,county_by_farmsize
florida,leon,beef,county_by_farmsize
florida,leon,all,county_by_farmsize
florida,leon,other,county_by_farmsize
florida,liberty,all,county_by_farmsize
florida,liberty,beef,county_by_farmsize
florida,madison,beef,county_by_farmsize
florida,madison,milk,county_by_farmsize
florida,madison,other,county_by_farmsize
florida,manatee,beef,county_by_farmsize
florida,manatee,milk,county_by_farmsize
florida,marion,other,county_by_farmsize
florida,martin,milk,county_by_farmsize
florida,miami-dade,other,county_by_farmsize
florida,monroe,all,county_by_farmsize
florida,monroe,beef,county_by_farmsize
florida,nassau,milk,county_by_farmsize
florida,nassau,other,county_by_farmsize
florida,nassau,beef,county_by_farmsize
florida,okaloosa,other,county_by_farmsize
florida,okaloosa,beef,county_by_farmsize
florida,okaloosa,all,county_by_farmsize
